Column1,Column2,Column3,Column4,Column5,Column6
49,51,54,25,25,13421
49,51,54,25,25,13446
50,51,54,25,25,13472
49,51,54,25,25,13498
49,51,54,25,25,13523
49,51,54,25,25,13549
49,51,54,25,25,13574
49,51,54,25,25,13600
49,51,54,25,25,13626
49,51,54,25,25,13651
49,51,54,25,25,13677
49,51,54,25,25,13703
49,51,54,25,25,13728
50,51,54,25,25,13754
49,51,54,25,25,13779
49,51,54,25,25,13805
50,51,54,25,25,13831
49,51,54,25,25,13856
50,51,54,25,25,13882
49,51,54,25,25,13908
49,51,54,25,25,13933
50,51,54,25,25,13959
50,51,54,25,25,13984
49,51,54,25,25,14010
49,51,54,25,25,14036
49,51,54,25,25,14061
49,51,54,25,25,14087
49,51,54,25,25,14113
49,51,54,25,25,14138
49,51,54,25,25,14164
49,51,54,25,25,14189
49,51,54,25,25,14215
49,51,54,25,25,14241
50,51,54,25,25,14266
49,51,54,25,25,14292
49,51,54,25,25,14318
49,51,54,25,25,14343
50,51,54,25,25,14369
49,51,54,25,25,14394
49,51,54,25,25,14420
49,51,54,25,25,14446
49,51,54,25,25,14471
49,51,54,25,25,14497
49,51,54,25,25,14523
49,51,54,25,25,14548
49,51,54,25,25,14574
49,51,54,25,25,14599
49,51,54,25,25,14625
49,51,54,25,25,14651
49,51,54,25,25,14676
49,51,54,25,25,14702
49,51,54,25,25,14728
49,51,54,25,25,14753
49,51,54,25,25,14779
49,51,54,25,25,14804
49,51,54,25,25,14830
50,51,54,25,25,14856
50,51,54,25,25,14881
49,51,54,25,25,14907
49,51,54,25,25,14933
50,51,54,25,25,14958
50,51,54,25,25,14984
50,51,54,25,25,15010
50,51,54,25,25,15035
49,51,54,25,25,15061
49,51,54,25,25,15086
50,51,54,25,25,15112
49,51,54,25,25,15138
49,51,54,25,25,15163
49,51,54,25,25,15189
49,51,54,25,25,15215
49,51,54,25,25,15240
49,51,54,25,25,15266
49,51,54,25,25,15291
49,51,54,25,25,15317
49,51,54,25,25,15343
49,51,54,25,25,15368
49,51,54,25,25,15394
49,51,54,25,25,15420
50,51,54,25,25,15445
49,51,54,25,25,15471
50,51,54,25,25,15496
49,51,54,25,25,15522
50,51,54,25,25,15548
50,51,54,25,25,15573
50,51,54,25,25,15599
50,51,54,25,25,15625
50,51,54,25,25,15650
50,51,54,25,25,15676
50,51,54,25,25,15701
49,51,54,25,25,15727
49,51,54,25,25,15753
49,51,54,25,25,15778
49,51,54,25,25,15804
49,51,54,25,25,15830
50,51,54,25,25,15855
49,51,54,25,25,15881
50,51,54,25,25,15906
50,51,54,25,25,15932
49,51,54,25,25,15958
49,51,54,25,25,15983
49,51,54,25,25,16009
49,51,54,25,25,16035
50,51,54,25,25,16060
49,51,54,25,25,16086
49,51,54,25,25,16111
49,51,54,25,25,16137
50,51,54,25,25,16163
49,51,54,25,25,16188
49,51,54,25,25,16214
49,51,54,25,25,16240
49,51,54,25,25,16265
49,51,55,25,25,16291
50,51,54,25,25,16316
49,51,54,25,25,16342
49,51,54,25,25,16368
50,51,54,25,25,16393
50,51,54,25,25,16419
49,51,54,25,25,16445
49,51,54,25,25,16470
49,51,54,25,25,16496
50,51,54,25,25,16521
49,51,54,25,25,16547
50,51,54,25,25,16573
50,51,54,25,25,16598
49,51,54,25,25,16624
49,51,54,25,25,16650
49,51,54,25,25,16675
49,51,54,25,25,16701
49,51,54,25,25,16726
49,51,54,25,25,16752
50,51,54,25,25,16778
50,51,54,25,25,16803
50,51,54,25,25,16829
49,51,54,25,25,16855
49,51,54,25,25,16880
50,51,54,25,25,16906
49,51,54,25,25,16932
49,51,54,25,25,16957
50,51,54,25,25,16983
50,51,54,25,25,17008
49,51,54,25,25,17034
50,51,54,25,25,17060
49,51,54,25,25,17085
50,51,54,25,25,17111
49,51,54,25,25,17137
49,51,54,25,25,17162
49,51,54,25,25,17188
50,51,54,25,25,17213
49,51,54,25,25,17239
49,51,54,25,25,17265
49,51,54,25,25,17290
49,51,54,25,25,17316
50,51,55,25,25,17342
49,51,54,25,25,17367
49,51,54,25,25,17393
50,51,54,25,25,17418
49,51,54,25,25,17444
49,51,54,25,25,17470
50,51,54,25,25,17495
49,51,54,25,25,17521
50,51,54,25,25,17547
49,51,54,25,25,17572
50,51,54,25,25,17598
50,51,54,25,25,17623
49,51,54,25,25,17649
50,51,54,25,25,17675
50,51,55,25,25,17700
50,51,54,25,25,17726
49,51,54,25,25,17752
49,51,55,25,25,17777
49,51,54,25,25,17803
49,51,54,25,25,17828
49,51,54,25,25,17854
50,51,54,25,25,17880
49,51,54,25,25,17905
49,51,54,25,25,17931
49,51,54,25,25,17957
49,51,55,25,25,17982
50,51,54,25,25,18008
49,51,54,25,25,18033
50,51,54,25,25,18059
50,51,54,25,25,18085
49,51,54,25,25,18110
49,51,54,25,25,18136
50,51,54,25,25,18162
49,51,54,25,25,18187
49,51,54,25,25,18213
49,51,54,25,25,18238
50,51,54,25,25,18264
49,51,54,25,25,18290
49,51,54,25,25,18315
49,51,54,25,25,18341
49,51,54,25,25,18367
50,51,55,25,25,18392
50,51,55,25,25,18418
49,51,55,25,25,18443
49,51,54,25,25,18469
50,51,55,25,25,18495
49,51,54,25,25,18520
49,51,54,25,25,18546
50,51,54,25,25,18572
50,51,54,25,25,18597
50,51,54,25,25,18623
50,51,54,25,25,18648
50,51,54,25,25,18674
50,51,54,25,25,18700
50,51,54,25,25,18725
49,51,54,25,25,18751
49,51,54,25,25,18777
49,51,54,25,25,18802
49,51,54,25,25,18828
49,51,54,25,25,18854
49,51,54,25,25,18879
49,51,54,25,25,18905
49,51,54,25,25,18930
49,51,54,25,25,18956
49,51,54,25,25,18982
50,51,54,25,25,19007
50,51,54,25,25,19033
50,51,54,25,25,19059
49,51,54,25,25,19084
49,51,54,25,25,19110
49,51,54,25,25,19135
49,51,54,25,25,19161
49,51,54,25,25,19187
49,51,54,25,25,19212
49,51,54,25,25,19238
49,51,54,25,25,19264
49,51,54,25,25,19289
49,51,54,25,25,19315
49,51,54,25,25,19340
49,51,54,25,25,19366
49,51,54,25,25,19392
49,51,54,25,25,19417
49,51,54,25,25,19443
49,51,54,25,25,19469
49,51,54,25,25,19494
49,51,54,25,25,19520
49,51,54,25,25,19545
50,51,54,25,25,19571
49,51,54,25,25,19597
49,51,54,25,25,19622
49,51,54,25,25,19648
49,51,54,25,25,19674
